instance,source_instance,customer_count,seed,method,charging_policy,truck_route,truck_routes,drone_tasks,feasible,vehicle_count,truck_distance,drone_distance,total_distance,completion_time,waiting_time,truck_waiting_time,drone_waiting_time,charging_count,charging_time,petal_score,crossing_count,route_compactness,sector_coherence,depot_radial_consistency,runtime_seconds,feasibility_rate,customer_coverage_rate,time_window_feasibility_rate,truck_battery_feasibility_rate,drone_battery_feasibility_rate,capacity_feasibility_rate,sync_feasibility_rate,total_violation,ga_before_cost,alns_after_cost,improvement_percentage,selected_source,ga_runtime,alns_refine_runtime,candidate_count,selected_candidate_count,selected_candidate_rank,selected_candidate_similarity_to_ga_best,comparison_mode,candidate_types,selected_candidate_types,ga_best_cost,candidate_before_cost,candidate_after_cost,candidate_vehicle_count_before,candidate_vehicle_count_after,alns_improved_candidates,best_improvement_percentage,per_candidate_runtime,vehicle_preserving_refine,baseline_vehicle_count,refined_vehicle_count,distance_improved,completion_time_improved,charging_time_improved,waiting_time_improved,petal_score_improved,accepted_by_hybrid_rule,rejected_reason,paper_cost_before,paper_cost_after,paper_distance_improved,paper_cost_improved,accepted_by_paper_rule,rejected_by_cost_rule,periodic_trigger_count,periodic_selected_elites,periodic_injected_count,periodic_rejected_count,periodic_best_before,periodic_best_after,stagnation_trigger_count,stagnation_selected_elites,stagnation_injected_count,stagnation_rejected_count,stagnation_immigrant_count,stagnation_best_before,stagnation_best_after,stagnation_batches,alns_called_due_to_no_improvement,alns_called_due_to_low_diversity,population_diversity_before,population_diversity_after,hybrid_local_operator_calls,hybrid_local_operator_successes,same_vehicle_relocate_successes,same_vehicle_swap_successes,no_new_vehicle_relocate_successes,drone_reassign_successes,launch_recover_adjust_successes,charging_polish_successes,waiting_reduction_successes,petal_polish_successes,accepted_same_vehicle_improvements,rejected_by_vehicle_increase,time_window_failed_nodes,truck_battery_failed_legs,drone_failed_tasks,customer_coverage_violation,time_window_violation,truck_battery_violation,drone_battery_violation,capacity_violation
R101_25_seed1987_td,R101,25,1987,ga_td,NPC,0 ---> 14 ---> 44 ---> 0,v1:0 ---> 14 ---> 44 ---> 0 | v2:0 ---> 82 ---> 49 ---> 1004 ---> 0 | v3:0 ---> 5 ---> 61 ---> 1000 ---> 1 ---> 0 | v4:0 ---> 18 ---> 50 ---> 80 ---> 1000 ---> 0 | v5:0 ---> 16 ---> 86 ---> 97 ---> 0 | v6:0 ---> 42 ---> 21 ---> 87 ---> 1005 ---> 0 | v7:0 ---> 79 ---> 1006 ---> 55 ---> 0,r4:16 ---> 96 ---> 0; r0:44 ---> 99 ---> 4 ---> 0; r2:5 ---> 8 ---> 1; r5:21 ---> 74 ---> 0; r1:82 ---> 7 ---> 100 ---> 0,True,7,566.42849,243.773876,810.202366,216.396098,537.965463,533.937038,4.028426,5,31.899164,577.401804,11.0,13.363109,1.594461,1.29372,94.938602,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
R101_25_seed1987_td,R101,25,1987,alns_full,NPC,0 ---> 42 ---> 87 ---> 74 ---> 1000 ---> 0,v1:0 ---> 42 ---> 87 ---> 74 ---> 1000 ---> 0 | v2:0 ---> 14 ---> 44 ---> 97 ---> 0 | v3:0 ---> 5 ---> 82 ---> 7 ---> 0 | v4:0 ---> 16 ---> 86 ---> 0 | v5:0 ---> 61 ---> 1005 ---> 4 ---> 0 | v6:0 ---> 99 ---> 96 ---> 0 | v7:0 ---> 18 ---> 0 | v8:0 ---> 79 ---> 50 ---> 1 ---> 0 | v9:0 ---> 49 ---> 1004 ---> 0 | v10:0 ---> 55 ---> 0,r0:42 ---> 21 ---> 74; r2:82 ---> 8 ---> 0; r3:16 ---> 100 ---> 0; r9:55 ---> 80 ---> 0,True,10,649.407477,131.230547,780.638024,212.027754,817.855782,817.855782,0.0,3,26.211375,411.92678,8.0,6.684803,0.577526,0.277419,120.773719,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
R101_25_seed1987_td,R101,25,1987,hybrid_diverse_topk,NPC,0 ---> 14 ---> 99 ---> 1005 ---> 4 ---> 0,v1:0 ---> 14 ---> 99 ---> 1005 ---> 4 ---> 0 | v2:0 ---> 5 ---> 61 ---> 1000 ---> 1 ---> 0 | v3:0 ---> 82 ---> 49 ---> 1004 ---> 0 | v4:0 ---> 18 ---> 50 ---> 0 | v5:0 ---> 16 ---> 86 ---> 97 ---> 0 | v6:0 ---> 42 ---> 21 ---> 87 ---> 1005 ---> 0 | v7:0 ---> 79 ---> 1006 ---> 55 ---> 0,r2:82 ---> 7 ---> 100 ---> 0; r5:21 ---> 74 ---> 0; r4:16 ---> 96 ---> 0; r1:5 ---> 8 ---> 1; r3:50 ---> 80 ---> 0; r0:14 ---> 44 ---> 99,True,7,588.784952,223.468815,812.253767,212.027754,503.629444,499.601018,4.028426,5,51.151597,829.042385,16.0,13.363109,1.594461,1.621836,82.90977,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,863.405364,,0.0,ga,64.916059,6.701984,13.0,3.0,1.0,1.0,paper_cost_priority,"balanced,distance_oriented,drone_aggressive,time_window_oriented,vehicle_oriented","drone_aggressive,balanced,distance_oriented",863.405364,863.405364,772.652946,7.0,8.0,0.0,0.0,15.0,True,7.0,8.0,False,False,False,False,False,False,kept_ga_best,990.319831,990.319831,False,False,False,True,,,,,,,,,,,,,,,,,,,144.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
